symbol,layer_name,entry_time,exit_time,entry_price,exit_price,qty,pnl,slippage,exit_reason,hold_minutes
SLV,L4_VOL_SURGE,2026-01-05 14:06:00+00:00,2026-01-05 14:07:00+00:00,69.27,69.32,1,-0.0193,0.0693,SIGNAL,1.0
BAC,L4_VOL_SURGE,2026-01-05 14:06:00+00:00,2026-01-05 14:07:00+00:00,55.92,55.95,2,-0.0519,0.1119,SIGNAL,1.0
XLE,L3_RSI_SCALP,2026-01-05 14:18:00+00:00,2026-01-05 14:21:00+00:00,47.32,47.45,2,0.1652,0.0948,SIGNAL,3.0
PFE,L2_ORB,2026-01-05 14:29:00+00:00,2026-01-05 14:30:00+00:00,25.2,25.25,4,0.0991,0.1009,SIGNAL,1.0
PFE,L4_VOL_SURGE,2026-01-05 14:29:00+00:00,2026-01-05 14:31:00+00:00,25.2,25.2583,4,0.1323,0.1009,SIGNAL,2.0
INTC,L2_ORB,2026-01-05 14:27:00+00:00,2026-01-05 14:33:00+00:00,41.3605,41.1,2,-0.6035,0.0825,STOP,6.0
TLT,L2_ORB,2026-01-05 14:11:00+00:00,2026-01-05 14:33:00+00:00,87.19,87.2377,1,-0.0395,0.0872,SIGNAL,22.0
TLT,L4_VOL_SURGE,2026-01-05 14:32:00+00:00,2026-01-05 14:34:00+00:00,87.2528,87.255,1,-0.0851,0.0873,SIGNAL,2.0
INTC,L1_VWAP_MR,2026-01-05 14:34:00+00:00,2026-01-05 14:35:00+00:00,41.0393,40.65,3,-1.2904,0.1225,STOP,1.0
INTC,L1_VWAP_MR,2026-01-05 14:36:00+00:00,2026-01-05 14:38:00+00:00,40.565,40.376318057429366,3,-0.6875,0.1214,STOP,2.0
XLE,L1_VWAP_MR,2026-01-05 14:38:00+00:00,2026-01-05 14:40:00+00:00,46.755,46.575,2,-0.4533,0.0933,STOP,2.0
SLV,L1_VWAP_MR,2026-01-05 14:40:00+00:00,2026-01-05 14:44:00+00:00,68.71,69.14,1,0.3611,0.0689,SIGNAL,4.0
XLE,L1_VWAP_MR,2026-01-05 14:41:00+00:00,2026-01-05 14:50:00+00:00,46.605,46.445,2,-0.413,0.093,STOP,9.0
XLE,L1_VWAP_MR,2026-01-05 14:51:00+00:00,2026-01-05 14:55:00+00:00,46.4,46.23,2,-0.4326,0.0926,STOP,4.0
INTC,L1_VWAP_MR,2026-01-05 14:40:00+00:00,2026-01-05 14:56:00+00:00,40.149,39.9,3,-0.8671,0.1201,STOP,16.0
XLE,L1_VWAP_MR,2026-01-05 14:56:00+00:00,2026-01-05 14:59:00+00:00,46.21,46.1,2,-0.3123,0.0923,STOP,3.0
XLE,L3_RSI_SCALP,2026-01-05 14:57:00+00:00,2026-01-05 15:00:00+00:00,46.215,46.118365,2,-0.2856,0.0923,STOP,3.0
TLT,L4_VOL_SURGE,2026-01-05 15:00:00+00:00,2026-01-05 15:01:00+00:00,87.285,87.26,1,-0.1123,0.0873,SIGNAL,1.0
INTC,L1_VWAP_MR,2026-01-05 14:57:00+00:00,2026-01-05 15:01:00+00:00,39.965,39.78,3,-0.6746,0.1196,STOP,4.0
XLE,L1_VWAP_MR,2026-01-05 15:02:00+00:00,2026-01-05 15:04:00+00:00,46.085,45.96563307720942,2,-0.3308,0.0921,STOP,2.0
INTC,L1_VWAP_MR,2026-01-05 15:02:00+00:00,2026-01-05 15:11:00+00:00,39.67,39.74,3,0.0909,0.1191,SIGNAL,9.0
INTC,L3_RSI_SCALP,2026-01-05 15:08:00+00:00,2026-01-05 15:14:00+00:00,39.775,39.640692,3,-0.522,0.1191,STOP,6.0
XLE,L1_VWAP_MR,2026-01-05 15:07:00+00:00,2026-01-05 15:15:00+00:00,45.825,46.005,2,0.2682,0.0918,SIGNAL,8.0
PFE,L1_VWAP_MR,2026-01-05 15:16:00+00:00,2026-01-05 15:17:00+00:00,25.095,25.05,4,-0.2803,0.1003,STOP,1.0
XLE,L3_RSI_SCALP,2026-01-05 15:12:00+00:00,2026-01-05 15:18:00+00:00,45.93,46.1,2,0.248,0.092,SIGNAL,6.0
INTC,L3_RSI_SCALP,2026-01-05 15:17:00+00:00,2026-01-05 15:20:00+00:00,39.805,39.76,3,-0.2543,0.1193,SIGNAL,3.0
PFE,L1_VWAP_MR,2026-01-05 15:18:00+00:00,2026-01-05 15:25:00+00:00,25.055,25.016387449507768,4,-0.2546,0.1001,STOP,7.0
INTC,L3_RSI_SCALP,2026-01-05 15:23:00+00:00,2026-01-05 15:26:00+00:00,39.89,39.938,3,0.0243,0.1197,SIGNAL,3.0
PFE,L1_VWAP_MR,2026-01-05 15:29:00+00:00,2026-01-05 15:55:00+00:00,24.9797,25.041,4,0.1452,0.1,SIGNAL,26.0
INTC,L1_VWAP_MR,2026-01-05 16:07:00+00:00,2026-01-05 16:13:00+00:00,40.205,40.09,3,-0.4654,0.1204,STOP,6.0
INTC,L1_VWAP_MR,2026-01-05 16:14:00+00:00,2026-01-05 16:29:00+00:00,40.1164,40.02779569655946,3,-0.386,0.1202,STOP,15.0
BAC,L2_ORB,2026-01-05 15:27:00+00:00,2026-01-05 16:33:00+00:00,57.505,57.145,2,-0.8346,0.1146,SIGNAL,66.0
INTC,L1_VWAP_MR,2026-01-05 16:35:00+00:00,2026-01-05 16:54:00+00:00,39.9925,39.92534012592527,3,-0.3214,0.1199,STOP,19.0
INTC,L3_RSI_SCALP,2026-01-05 16:53:00+00:00,2026-01-05 16:56:00+00:00,39.96,39.895,3,-0.3148,0.1198,SIGNAL,3.0
INTC,L1_VWAP_MR,2026-01-05 16:56:00+00:00,2026-01-05 16:59:00+00:00,39.895,39.785,3,-0.4495,0.1195,STOP,3.0
INTC,L1_VWAP_MR,2026-01-05 17:00:00+00:00,2026-01-05 17:03:00+00:00,39.685,39.6588,3,-0.1976,0.119,STOP,3.0
INTC,L3_RSI_SCALP,2026-01-05 17:02:00+00:00,2026-01-05 17:04:00+00:00,39.745,39.61,3,-0.524,0.119,STOP,2.0
INTC,L1_VWAP_MR,2026-01-05 17:05:00+00:00,2026-01-05 17:10:00+00:00,39.6099,39.544797109543055,3,-0.314,0.1187,STOP,5.0
INTC,L3_RSI_SCALP,2026-01-05 17:11:00+00:00,2026-01-05 17:14:00+00:00,39.63,39.745,3,0.2259,0.1191,SIGNAL,3.0
BAC,L3_RSI_SCALP,2026-01-05 17:15:00+00:00,2026-01-05 17:18:00+00:00,57.185,57.17,2,-0.1444,0.1144,SIGNAL,3.0
INTC,L3_RSI_SCALP,2026-01-05 17:23:00+00:00,2026-01-05 17:26:00+00:00,39.6256,39.4955,3,-0.509,0.1187,STOP,3.0
INTC,L1_VWAP_MR,2026-01-05 17:27:00+00:00,2026-01-05 17:32:00+00:00,39.5537,39.535,3,-0.1747,0.1186,SIGNAL,5.0
INTC,L3_RSI_SCALP,2026-01-05 17:29:00+00:00,2026-01-05 17:35:00+00:00,39.535,39.58,3,0.0163,0.1187,SIGNAL,6.0
SLV,L1_VWAP_MR,2026-01-05 17:44:00+00:00,2026-01-05 18:06:00+00:00,69.13,69.54,1,0.3407,0.0693,SIGNAL,22.0
INTC,L1_VWAP_MR,2026-01-05 17:46:00+00:00,2026-01-05 18:07:00+00:00,39.45,39.3744,3,-0.345,0.1182,STOP,21.0
INTC,L1_VWAP_MR,2026-01-05 18:08:00+00:00,2026-01-05 18:11:00+00:00,39.375,39.395,3,-0.0582,0.1182,SIGNAL,3.0
INTC,L3_RSI_SCALP,2026-01-05 18:08:00+00:00,2026-01-05 18:14:00+00:00,39.375,39.45,3,0.1068,0.1182,SIGNAL,6.0
INTC,L1_VWAP_MR,2026-01-05 18:18:00+00:00,2026-01-05 18:25:00+00:00,39.2912,39.505,3,0.5232,0.1182,SIGNAL,7.0
PFE,L3_RSI_SCALP,2026-01-05 18:32:00+00:00,2026-01-05 18:34:00+00:00,25.075,25.059801,4,-0.1611,0.1003,STOP,2.0
INTC,L1_VWAP_MR,2026-01-05 19:04:00+00:00,2026-01-05 19:06:00+00:00,39.674,39.625,3,-0.2659,0.1189,STOP,2.0
SLV,L1_VWAP_MR,2026-01-05 18:40:00+00:00,2026-01-05 19:06:00+00:00,69.1101,68.82,1,-0.3591,0.069,STOP,26.0
SLV,L1_VWAP_MR,2026-01-05 19:07:00+00:00,2026-01-05 19:08:00+00:00,68.7901,68.67,1,-0.1888,0.0687,STOP,1.0
INTC,L1_VWAP_MR,2026-01-05 19:08:00+00:00,2026-01-05 19:11:00+00:00,39.56,39.51281917854037,3,-0.2602,0.1186,STOP,3.0
PFE,L1_VWAP_MR,2026-01-05 19:09:00+00:00,2026-01-05 19:18:00+00:00,24.995,24.972843473175885,4,-0.1886,0.0999,STOP,9.0
XLF,L2_ORB,2026-01-05 15:25:00+00:00,2026-01-05 19:30:00+00:00,56.251,56.4907,2,0.3667,0.1127,EOD,245.0
INTC,L1_VWAP_MR,2026-01-05 19:18:00+00:00,2026-01-05 19:30:00+00:00,39.5251,39.565,3,0.0011,0.1186,EOD,12.0
TLT,L3_RSI_SCALP,2026-01-05 19:27:00+00:00,2026-01-05 19:30:00+00:00,87.4068,87.405,1,-0.0892,0.0874,EOD,3.0
TLT,L3_RSI_SCALP,2026-01-05 19:34:00+00:00,2026-01-05 19:35:00+00:00,87.405,87.39,1,-0.1024,0.0874,STOP,1.0
INTC,L1_VWAP_MR,2026-01-05 19:39:00+00:00,2026-01-05 19:42:00+00:00,39.445,39.40084780917803,3,-0.2507,0.1183,STOP,3.0
SLV,L1_VWAP_MR,2026-01-05 19:48:00+00:00,2026-01-05 19:49:00+00:00,69.04,69.075,1,-0.0341,0.0691,SIGNAL,1.0
